ScenarioId,Date,Hour,ZoneId,LMP,Energy,Congestion,Losses
1,1/16/2022,8,71651,0.046925999,0.048831999,8.20E-05,-0.001987
1,1/16/2022,9,71651,0.046066999,0.048062999,6.10E-05,-0.002057
1,1/16/2022,10,71651,0.043092001,0.045568001,-0.000448,-0.002028
1,1/16/2022,11,71651,0.042291999,0.044654001,-0.000446,-0.001916
1,1/16/2022,12,71651,0.040272001,0.042560998,-0.000531,-0.001758
1,1/16/2022,13,71651,0.037861999,0.040571,-0.001062,-0.001647
1,1/16/2022,14,71651,0.036090001,0.03892,-0.001277,-0.001553
1,1/16/2022,15,71651,0.035822,0.038586002,-0.001294,-0.00147
1,1/16/2022,16,71651,0.034692999,0.03771,-0.001482,-0.001535
1,1/16/2022,17,71651,0.035810001,0.038756002,-0.001326,-0.00162
1,1/16/2022,18,71651,0.040445,0.043834001,-0.001442,-0.001946
1,1/16/2022,19,71651,0.046381,0.050028998,-0.001371,-0.002276
1,1/16/2022,20,71651,0.044535,0.048012,-0.001312,-0.002165
1,1/16/2022,21,71651,0.041650999,0.044822,-0.001208,-0.001963
1,1/16/2022,22,71651,0.040851999,0.043760002,-0.001044,-0.001864
1,1/16/2022,23,71651,0.039742999,0.042130999,-0.000673,-0.001715
1,1/16/2022,24,71651,0.036387,0.039145999,-0.001142,-0.001617
1,1/1/2022,1,90001,0.024106,0.024396,0,-0.00029
1,1/1/2022,2,90001,0.022667,0.022933001,0,-0.000266
1,1/1/2022,3,90001,0.022642,0.022902999,0,-0.000261
1,1/1/2022,4,90001,0.022756999,0.023031,0,-0.000274
1,1/1/2022,5,90001,0.02476,0.025095999,0,-0.000336
1,1/1/2022,6,90001,0.026799001,0.027174,0,-0.000375
1,1/1/2022,7,90001,0.029064,0.029477,0,-0.000413
1,1/1/2022,8,90001,0.029784,0.030179,0,-0.000395
1,1/1/2022,9,90001,0.029476,0.029867001,0,-0.000391
1,1/1/2022,10,90001,0.02832,0.028689999,0,-0.00037
1,1/1/2022,11,90001,0.025092,0.025425,0,-0.000333
1,1/1/2022,12,90001,0.023421001,0.023705,0,-0.000284
1,1/1/2022,13,90001,0.021952,0.022128999,0,-0.000177
1,1/1/2022,14,90001,0.020447001,0.020555999,0,-0.000109
1,1/1/2022,15,90001,0.019466,0.019571999,0,-0.000106
1,1/1/2022,16,90001,0.019284001,0.019358,0,-7.40E-05
1,1/1/2022,17,90001,0.019776,0.019874999,0,-9.90E-05
1,1/1/2022,18,90001,0.02702,0.0272,0,-0.00018
1,1/1/2022,19,90001,0.028069999,0.028333001,0,-0.000263
1,1/1/2022,20,90001,0.026087999,0.026374999,0,-0.000287
1,1/1/2022,21,90001,0.025141001,0.025403,0,-0.000262
1,1/1/2022,22,90001,0.024153,0.024367001,0,-0.000214
1,1/1/2022,23,90001,0.022493999,0.022689,0,-0.000195
1,1/1/2022,24,90001,0.021846,0.021965001,0,-0.000119
1,1/1/2022,1,90002,0.024223,0.024396,0,-0.000173
1,1/1/2022,2,90002,0.022810999,0.022933001,0,-0.000122
1,1/1/2022,3,90002,0.022786001,0.022902999,0,-0.000117
1,1/1/2022,4,90002,0.022907,0.023031,0,-0.000124
1,1/1/2022,5,90002,0.024948001,0.025095999,0,-0.000148
1,1/1/2022,6,90002,0.026997,0.027174,0,-0.000177
1,1/1/2022,7,90002,0.029203,0.029477,0,-0.000274
1,1/1/2022,8,90002,0.029843999,0.030179,0,-0.000335
1,1/1/2022,9,90002,0.029506,0.029867001,0,-0.000361
1,1/1/2022,10,90002,0.028446,0.028689999,0,-0.000244
1,1/1/2022,11,90002,0.025232,0.025425,0,-0.000193
1,1/1/2022,12,90002,0.023487,0.023705,0,-0.000218
1,1/1/2022,13,90002,0.022027001,0.022128999,0,-0.000102
1,1/1/2022,14,90002,0.020519,0.020555999,0,-3.70E-05
1,1/1/2022,15,90002,0.019539,0.019571999,0,-3.30E-05
1,1/1/2022,16,90002,0.019368,0.019358,0,1.00E-05
1,1/1/2022,17,90002,0.019855,0.019874999,0,-2.00E-05
1,1/1/2022,18,90002,0.027053,0.0272,0,-0.000147
1,1/1/2022,19,90002,0.028169001,0.028333001,0,-0.000164
1,1/1/2022,20,90002,0.026238,0.026374999,0,-0.000137
1,1/1/2022,21,90002,0.025276,0.025403,0,-0.000127
1,1/1/2022,22,90002,0.024233,0.024367001,0,-0.000134
1,1/1/2022,23,90002,0.022598,0.022689,0,-9.10E-05
1,1/1/2022,24,90002,0.021917,0.021965001,0,-4.80E-05
1,1/1/2022,1,90003,0.023869,0.024396,0,-0.000527
1,1/1/2022,2,90003,0.022465,0.022933001,0,-0.000468
1,1/1/2022,3,90003,0.022462999,0.022902999,0,-0.00044
1,1/1/2022,4,90003,0.022568,0.023031,0,-0.000463
1,1/1/2022,5,90003,0.024541,0.025095999,0,-0.000555
1,1/1/2022,6,90003,0.026571,0.027174,0,-0.000603
1,1/1/2022,7,90003,0.028589999,0.029477,0,-0.000887
1,1/1/2022,8,90003,0.029114,0.030179,0,-0.001065
1,1/1/2022,9,90003,0.028795,0.029867001,0,-0.001072
1,1/1/2022,10,90003,0.027872,0.028689999,0,-0.000818
1,1/1/2022,11,90003,0.024866,0.025425,0,-0.000559
1,1/1/2022,12,90003,0.023179,0.023705,0,-0.000526
1,1/1/2022,13,90003,0.021786001,0.022128999,0,-0.000343
1,1/1/2022,14,90003,0.020373,0.020555999,0,-0.000183
1,1/1/2022,15,90003,0.019429,0.019571999,0,-0.000143
1,1/1/2022,16,90003,0.019352,0.019358,0,-6.00E-06
1,1/1/2022,17,90003,0.019819001,0.019874999,0,-5.60E-05
1,1/1/2022,18,90003,0.026815999,0.0272,0,-0.000384
1,1/1/2022,19,90003,0.02784,0.028333001,0,-0.000493
1,1/1/2022,20,90003,0.025861001,0.026374999,0,-0.000514
1,1/1/2022,21,90003,0.02492,0.025403,0,-0.000483
1,1/1/2022,22,90003,0.023921,0.024367001,0,-0.000446
1,1/1/2022,23,90003,0.02231,0.022689,0,-0.000379
1,1/1/2022,24,90003,0.021732001,0.021965001,0,-0.000233
1,1/1/2022,1,90005,0.023954,0.024396,0,-0.000442
1,1/1/2022,2,90005,0.02249,0.022933001,0,-0.000443
1,1/1/2022,3,90005,0.022436,0.022902999,0,-0.000467
1,1/1/2022,4,90005,0.022586999,0.023031,0,-0.000444
1,1/1/2022,5,90005,0.024587,0.025095999,0,-0.000509
1,1/1/2022,6,90005,0.026551999,0.027174,0,-0.000622
1,1/1/2022,7,90005,0.028805001,0.029477,0,-0.000672
1,1/1/2022,8,90005,0.0295,0.030179,0,-0.000679
1,1/1/2022,9,90005,0.029252,0.029867001,0,-0.000615
1,1/1/2022,10,90005,0.028193999,0.028689999,0,-0.000496
1,1/1/2022,11,90005,0.025077,0.025425,0,-0.000348
1,1/1/2022,12,90005,0.023422999,0.023705,0,-0.000282
1,1/1/2022,13,90005,0.021945,0.022128999,0,-0.000184
1,1/1/2022,14,90005,0.020367,0.020555999,0,-0.000189
1,1/1/2022,15,90005,0.019362999,0.019571999,0,-0.000209
1,1/1/2022,16,90005,0.019172,0.019358,0,-0.000186
1,1/1/2022,17,90005,0.019681999,0.019874999,0,-0.000193
1,1/1/2022,18,90005,0.027026,0.0272,0,-0.000174
1,1/1/2022,19,90005,0.028067,0.028333001,0,-0.000266
1,1/1/2022,20,90005,0.026102999,0.026374999,0,-0.000272
1,1/1/2022,21,90005,0.025134001,0.025403,0,-0.000269
1,1/1/2022,22,90005,0.024111001,0.024367001,0,-0.000256
1,1/1/2022,23,90005,0.022438999,0.022689,0,-0.00025
1,1/1/2022,24,90005,0.021733999,0.021965001,0,-0.000231
1,1/16/2022,1,90001,0.040842999,0.042474002,-0.001198,-0.000433
1,1/16/2022,2,90001,0.040538002,0.042146999,-0.001132,-0.000476
1,1/16/2022,3,90001,0.040426999,0.041972999,-0.001039,-0.000508
1,1/16/2022,4,90001,0.040104002,0.041515,-0.0009,-0.000511
1,1/16/2022,5,90001,0.040351,0.041944999,-0.001054,-0.000541
1,1/16/2022,6,90001,0.04208,0.044388,-0.001731,-0.000577
1,1/16/2022,7,90001,0.044507999,0.047694001,-0.0026,-0.000587
1,1/16/2022,8,90001,0.045598,0.048831999,-0.002638,-0.000596
1,1/16/2022,9,90001,0.044819001,0.048062999,-0.002677,-0.000567
1,1/16/2022,10,90001,0.043435,0.045568001,-0.00159,-0.000542
1,1/16/2022,11,90001,0.042589001,0.044654001,-0.001525,-0.00054
1,1/16/2022,12,90001,0.040809002,0.042560998,-0.001199,-0.000553
1,1/16/2022,13,90001,0.040424,0.040571,0.00036,-0.000507
1,1/16/2022,14,90001,0.039760001,0.03892,0.001299,-0.000459
1,1/16/2022,15,90001,0.03963,0.038586002,0.001406,-0.000363
1,1/16/2022,16,90001,0.039494999,0.03771,0.002177,-0.000392
1,1/16/2022,17,90001,0.039845999,0.038756002,0.001446,-0.000357
1,1/16/2022,18,90001,0.044248998,0.043834001,0.000748,-0.000333
1,1/16/2022,19,90001,0.048990998,0.050028998,-0.000627,-0.00041
1,1/16/2022,20,90001,0.047137,0.048012,-0.000424,-0.000451
1,1/16/2022,21,90001,0.044218998,0.044822,-9.10E-05,-0.000511
1,1/16/2022,22,90001,0.042943001,0.043760002,-0.000323,-0.000494
1,1/16/2022,23,90001,0.040658999,0.042130999,-0.00095,-0.000522
1,1/16/2022,24,90001,0.039496999,0.039145999,0.000879,-0.000528
1,1/16/2022,1,90002,0.040017001,0.042474002,-0.001705,-0.000752
1,1/16/2022,2,90002,0.039740998,0.042146999,-0.001647,-0.000759
